collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,25,hybrid,colbert,0.944,0.8811,0.8967,55.45,67.19,142.66,65.57
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,50,hybrid,colbert,0.948,0.8834,0.8993,44.28,51.27,58.41,63.45
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,100,hybrid,colbert,0.942,0.8793,0.8948,43.24,51.02,55.37,63.71
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,25,hybrid,colbert,0.95,0.8824,0.899,40.07,45.47,49.67,66.87
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,50,hybrid,colbert,0.962,0.885,0.9034,40.68,48.32,51.75,67.18
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,100,hybrid,colbert,0.96,0.8847,0.9028,41.22,46.97,51.7,66.19
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,25,hybrid,cross-encoder,0.944,0.8845,0.8994,329.06,1354.0,2279.04,1.79
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,50,hybrid,cross-encoder,0.95,0.8853,0.9014,1030.18,3662.62,6265.64,0.79
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,100,hybrid,cross-encoder,0.952,0.8857,0.9021,2032.25,4793.28,6354.6,0.41
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,25,hybrid,cross-encoder,0.948,0.8847,0.9004,464.78,1083.19,1836.09,1.87
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,50,hybrid,cross-encoder,0.954,0.8855,0.9024,1036.48,2764.5,4571.04,0.78
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,100,hybrid,cross-encoder,0.958,0.8861,0.9037,2090.17,4875.04,6669.23,0.35
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,25,hybrid,rrf,0.934,0.8082,0.8395,25.55,28.62,31.82,294.41
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,50,hybrid,rrf,0.938,0.8056,0.8386,25.61,29.04,33.44,305.94
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,100,hybrid,rrf,0.94,0.8051,0.8386,25.69,30.11,35.97,304.5
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,25,hybrid,rrf,0.95,0.8094,0.8436,25.72,32.21,36.47,292.81
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,50,hybrid,rrf,0.954,0.8058,0.8419,25.95,36.28,117.61,287.56
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,100,hybrid,rrf,0.952,0.8069,0.8424,25.94,30.46,36.51,293.11
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,25,sparseonly,colbert,0.874,0.8271,0.8388,36.93,43.38,49.15,75.41
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,50,sparseonly,colbert,0.896,0.8454,0.858,37.1,42.43,46.53,74.05
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,100,sparseonly,colbert,0.904,0.8531,0.8657,39.63,45.97,51.4,73.65
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,25,sparseonly,colbert,0.878,0.8282,0.8404,37.48,42.68,46.5,74.93
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,50,sparseonly,colbert,0.902,0.8464,0.86,38.06,43.46,48.59,75.4
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,20,100,sparseonly,colbert,0.908,0.8532,0.8665,40.15,47.16,51.43,75.15
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,25,sparseonly,cross-encoder,0.872,0.8302,0.8407,497.83,1323.31,2152.06,1.79
dbpedia_binary,../qdrant-load/configs/dbpedia/config_binary.yml,10,50,sparseonly,cross-encoder,0.896,0.8497,0.8613,1064.36,3234.12,5201.89,0.78
